Date,Close,Daily Returns
2021-03-12,57332.09,-0.00818
2021-03-13,61243.08,0.06822
2021-03-14,59302.32,-0.03169
2021-03-15,55907.2,-0.05725
2021-03-16,56804.9,0.01606
2021-03-17,58870.89,0.03637
2021-03-18,57858.92,-0.01719
2021-03-19,58346.65,0.00843
2021-03-20,58313.64,-0.00057
2021-03-21,57523.42,-0.01355
2021-03-22,54529.15,-0.05205
2021-03-23,54738.94,0.00385
2021-03-24,52774.26,-0.03589
2021-03-25,51704.16,-0.02028
2021-03-26,55137.31,0.0664
2021-03-27,55973.51,0.01517
2021-03-28,55950.75,-0.00041
2021-03-29,57750.2,0.03216
2021-03-30,58917.69,0.02022
2021-03-31,58918.83,2e-05
2021-04-01,59095.81,0.003
2021-04-02,59384.31,0.00488
2021-04-03,57603.89,-0.02998
2021-04-04,58758.56,0.02005
2021-04-05,59057.88,0.00509
2021-04-06,58192.36,-0.01466
2021-04-07,56048.94,-0.03683
2021-04-08,58323.95,0.04059
2021-04-09,58245.0,-0.00135
2021-04-10,59793.24,0.02658
2021-04-11,60204.96,0.00689
2021-04-12,59893.45,-0.00517
2021-04-13,63503.46,0.06027
2021-04-14,63109.7,-0.0062
2021-04-15,63314.01,0.00324
2021-04-16,61572.79,-0.0275
2021-04-17,60683.82,-0.01444
2021-04-18,56216.19,-0.07362
2021-04-19,55724.27,-0.00875
2021-04-20,56473.03,0.01344
2021-04-21,53906.09,-0.04545
2021-04-22,51762.27,-0.03977
2021-04-23,51093.65,-0.01292
2021-04-24,50050.87,-0.02041
2021-04-25,49004.25,-0.02091
2021-04-26,54021.75,0.10239
2021-04-27,55033.12,0.01872
2021-04-28,54824.7,-0.00379
2021-04-29,53555.11,-0.02316
2021-04-30,57750.18,0.07833
2021-05-01,57828.05,0.00135
2021-05-02,56631.08,-0.0207
2021-05-03,57200.29,0.01005
2021-05-04,53333.54,-0.0676
2021-05-05,57424.01,0.0767
2021-05-06,56396.51,-0.01789
2021-05-07,57356.4,0.01702
2021-05-08,58803.78,0.02523
2021-05-09,58232.32,-0.00972
2021-05-10,55859.8,-0.04074
2021-05-11,56704.57,0.01512
2021-05-12,49150.53,-0.13322
2021-05-13,49716.19,0.01151
2021-05-14,49880.53,0.00331
2021-05-15,46760.19,-0.06256
2021-05-16,46456.06,-0.0065
2021-05-17,43537.51,-0.06282
2021-05-18,42909.4,-0.01443
2021-05-19,37002.44,-0.13766
2021-05-20,40782.74,0.10216
2021-05-21,37304.69,-0.08528
2021-05-22,37536.63,0.00622
2021-05-23,34770.58,-0.07369
2021-05-24,38705.98,0.11318
2021-05-25,38402.22,-0.00785
2021-05-26,39294.2,0.02323
2021-05-27,38436.97,-0.02182
2021-05-28,35697.61,-0.07127
2021-05-29,34616.07,-0.0303
2021-05-30,35678.13,0.03068
2021-05-31,37332.85,0.04638
2021-06-01,36684.92,-0.01736
2021-06-02,37575.18,0.02427
2021-06-03,39208.77,0.04348
2021-06-04,36894.41,-0.05903
2021-06-05,35551.96,-0.03639
2021-06-06,35862.38,0.00873
2021-06-07,33560.71,-0.06418
2021-06-08,33472.63,-0.00262
2021-06-09,37345.12,0.11569
2021-06-10,36702.6,-0.0172
2021-06-11,37334.4,0.01721
2021-06-12,35552.52,-0.04773
2021-06-13,39097.86,0.09972
2021-06-14,40218.48,0.02866
2021-06-15,40406.27,0.00467
2021-06-16,38347.06,-0.05096
2021-06-17,38053.5,-0.00766
2021-06-18,35787.24,-0.05955
2021-06-19,35615.87,-0.00479
2021-06-20,35698.3,0.00231
2021-06-21,31676.69,-0.11266
2021-06-22,32505.66,0.02617
2021-06-23,33723.03,0.03745
2021-06-24,34662.44,0.02786
2021-06-25,31637.78,-0.08726
2021-06-26,32186.28,0.01734
2021-06-27,34649.64,0.07653
2021-06-28,34434.34,-0.00621
2021-06-29,35867.78,0.04163
2021-06-30,35040.84,-0.02306
2021-07-01,33572.12,-0.04191
2021-07-02,33897.05,0.00968
2021-07-03,34668.55,0.02276
2021-07-04,35287.78,0.01786
2021-07-05,33746.0,-0.04369
2021-07-06,34235.19,0.0145
2021-07-07,33855.33,-0.0111
2021-07-08,32877.37,-0.02889
2021-07-09,33798.01,0.028
2021-07-10,33520.52,-0.00821
2021-07-11,34240.19,0.02147
2021-07-12,33155.85,-0.03167
2021-07-13,32702.03,-0.01369
2021-07-14,32822.35,0.00368
2021-07-15,31780.73,-0.03174
2021-07-16,31421.54,-0.0113
2021-07-17,31533.07,0.00355
2021-07-18,31796.81,0.00836
2021-07-19,30817.83,-0.03079
2021-07-20,29807.35,-0.03279
2021-07-21,32110.69,0.07727
2021-07-22,32313.11,0.0063
2021-07-23,33581.55,0.03925
2021-07-24,34292.45,0.02117
2021-07-25,35350.19,0.03084
2021-07-26,37337.53,0.05622
2021-07-27,39406.94,0.05542
2021-07-28,39995.91,0.01495
2021-07-29,40008.42,0.00031
2021-07-30,42235.55,0.05567
2021-07-31,41626.2,-0.01443
2021-08-01,39974.9,-0.03967
2021-08-02,39201.95,-0.01934
2021-08-03,38152.98,-0.02676
2021-08-04,39747.51,0.04179
2021-08-05,40869.55,0.02823
2021-08-06,42816.5,0.04764
2021-08-07,44555.8,0.04062
2021-08-08,43798.12,-0.01701
2021-08-09,46365.4,0.05862
2021-08-10,45585.03,-0.01683
2021-08-11,45593.64,0.00019
2021-08-12,44428.29,-0.02556
2021-08-13,47793.32,0.07574
2021-08-14,47096.95,-0.01457
2021-08-15,47047.0,-0.00106
2021-08-16,46004.48,-0.02216
2021-08-17,44695.36,-0.02846
2021-08-18,44801.19,0.00237
2021-08-19,46717.58,0.04278
2021-08-20,49339.18,0.05612
2021-08-21,48905.49,-0.00879
2021-08-22,49321.65,0.00851
2021-08-23,49546.15,0.00455
2021-08-24,47706.12,-0.03714
2021-08-25,48960.79,0.0263
2021-08-26,46942.22,-0.04123
2021-08-27,49058.67,0.04509
2021-08-28,48902.4,-0.00319
2021-08-29,48829.83,-0.00148
2021-08-30,47054.98,-0.03635
2021-08-31,47166.69,0.00237
2021-09-01,48847.03,0.03563
2021-09-02,49327.72,0.00984
2021-09-03,50025.37,0.01414
2021-09-04,49944.63,-0.00161
2021-09-05,51753.41,0.03622
2021-09-06,52633.54,0.01701
2021-09-07,46811.13,-0.11062
2021-09-08,46091.39,-0.01538
2021-09-09,46391.42,0.00651
2021-09-10,44883.91,-0.0325
2021-09-11,45201.46,0.00707
2021-09-12,46063.27,0.01907
2021-09-13,44963.07,-0.02388
2021-09-14,47092.49,0.04736
2021-09-15,48176.35,0.02302
2021-09-16,47783.36,-0.00816
2021-09-17,47267.52,-0.0108
2021-09-18,48278.36,0.02139
2021-09-19,47260.22,-0.02109
2021-09-20,42843.8,-0.09345
2021-09-21,40693.68,-0.05019
2021-09-22,43574.51,0.07079
2021-09-23,44895.1,0.03031
2021-09-24,42839.75,-0.04578
2021-09-25,42716.59,-0.00287
2021-09-26,43208.54,0.01152
2021-09-27,42235.73,-0.02251
2021-09-28,41034.54,-0.02844
2021-09-29,41564.36,0.01291
2021-09-30,43790.9,0.05357
2021-10-01,48116.94,0.09879
2021-10-02,47711.49,-0.00843
2021-10-03,48199.95,0.01024
2021-10-04,49112.9,0.01894
2021-10-05,51514.81,0.04891
2021-10-06,55361.45,0.07467
2021-10-07,53805.99,-0.0281
2021-10-08,53967.85,0.00301
2021-10-09,54968.22,0.01854
2021-10-10,54771.58,-0.00358
2021-10-11,57484.79,0.04954
2021-10-12,56041.06,-0.02511
2021-10-13,57401.1,0.02427
2021-10-14,57321.53,-0.00139
2021-10-15,61593.95,0.07453
2021-10-16,60892.18,-0.01139
2021-10-17,61553.62,0.01086
2021-10-18,62026.08,0.00768
2021-10-19,64261.99,0.03605
2021-10-20,65992.84,0.02693
2021-10-21,62210.17,-0.05732
2021-10-22,60692.26,-0.0244
2021-10-23,61393.62,0.01156
2021-10-24,60930.84,-0.00754
2021-10-25,63039.83,0.03461
2021-10-26,60363.79,-0.04245
2021-10-27,58482.39,-0.03117
2021-10-28,60622.14,0.03659
2021-10-29,62227.96,0.02649
2021-10-30,61888.83,-0.00545
2021-10-31,61318.96,-0.00921
2021-11-01,61004.41,-0.00513
2021-11-02,63226.4,0.03642
2021-11-03,62970.05,-0.00405
2021-11-04,61452.23,-0.0241
2021-11-05,61125.67,-0.00531
2021-11-06,61527.48,0.00657
2021-11-07,63326.99,0.02925
2021-11-08,67566.83,0.06695
2021-11-09,66971.83,-0.00881
2021-11-10,64995.23,-0.02951
2021-11-11,64949.96,-0.0007
2021-11-12,64155.94,-0.01223
2021-11-13,64469.53,0.00489
2021-11-14,65466.84,0.01547
2021-11-15,63557.87,-0.02916
2021-11-16,60161.25,-0.05344
2021-11-17,60368.01,0.00344
2021-11-18,56942.14,-0.05675
2021-11-19,58119.58,0.02068
2021-11-20,59697.2,0.02714
2021-11-21,58730.48,-0.01619
2021-11-22,56289.29,-0.04157
2021-11-23,57569.07,0.02274
2021-11-24,56280.43,-0.02238
2021-11-25,57274.68,0.01767
2021-11-26,53569.76,-0.06469
2021-11-27,54815.08,0.02325
2021-11-28,57248.46,0.04439
2021-11-29,57806.57,0.00975
2021-11-30,57005.43,-0.01386
2021-12-01,57229.83,0.00394
2021-12-02,56477.82,-0.01314
2021-12-03,53598.25,-0.05099
2021-12-04,49200.7,-0.08205
2021-12-05,49368.85,0.00342
2021-12-06,50582.63,0.02459
2021-12-07,50700.08,0.00232
2021-12-08,50504.8,-0.00385
2021-12-09,47672.12,-0.05609
2021-12-10,47243.31,-0.00899
2021-12-11,49362.51,0.04486
2021-12-12,50098.34,0.01491
2021-12-13,46737.48,-0.06709
2021-12-14,46612.63,-0.00267
2021-12-15,48896.72,0.049
2021-12-16,47665.43,-0.02518
2021-12-17,46202.14,-0.0307
2021-12-18,46848.78,0.014
2021-12-19,46707.01,-0.00303
2021-12-20,46880.28,0.00371
2021-12-21,48936.61,0.04386
2021-12-22,48628.51,-0.0063
2021-12-23,50784.54,0.04434
2021-12-24,50822.2,0.00074
2021-12-25,50429.86,-0.00772
2021-12-26,50809.52,0.00753
2021-12-27,50640.42,-0.00333
2021-12-28,47588.85,-0.06026
2021-12-29,46444.71,-0.02404
2021-12-30,47178.13,0.01579
2021-12-31,46306.45,-0.01848
